OrgNo;FirmaNavn;Status;AntallAnsatte;OrganisasjonsformKode;Naeringskode
929551265;STS - SURFACE TREATMENT SYSTEMS AS;Aktiv;;AS;46.750
916283776;APPLETIFY AS;Aktiv;;AS;47.990
987770384;ECIT BUSINESS PARTNER PLUSS AS;Aktiv;7;AS;69.201
999150985;LYN EIENDOM AS;Aktiv;;AS;68.100
989957422;DIN REGNSKAPSFØRER AS;Aktiv;;AS;69.201
982848547;NESTTUN BLOMSTER AS;Aktiv;8;AS;47.761
993253375;N.K.S. KLØVERÅSEN AS;Aktiv;44;AS;86.104
987447702;ØKORÅD HADSEL AS;Aktiv;13;AS;69.201
939611908;ADMIT AS;Aktiv;;AS;70.220
979713894;JANSSON & LARSEN REGNSKAP AS;Aktiv;22;AS;69.201
997626079;DEGREE AS;Aktiv;12;AS;62.020
980386465;POWEROFFICE AS;Aktiv;92;AS;58.290
915498892;ULVSVÅG EIENDOM AS;Aktiv;;AS;68.209
915703534;TØYEN SPORTSKLUBB;Aktiv;82;FLI;93.120
916346220;UNDO AS;Aktiv;5;AS;86.909
981563794;NARVIK HESTESPORTSENTER SKJOMEN AS;Aktiv;;AS;93.110
989410164;STRANDGATA 30 EIENDOM SORTLAND AS;Aktiv;;AS;68.209
992890002;IDE MØBLER BODØ AS;Slettet;;AS;
995682621;MARIELA FRISØR AS;Aktiv;5;AS;96.020
994251104;STYLIST-X AS;Aktiv;;AS;96.020
977558093;GRAF AS;Aktiv;;AS;74.102
916078161;CFO REGNSKAP AS;Aktiv;;AS;69.201
988784710;DEN4DOGS AS;Aktiv;;AS;32.990
973199730;NOVATEK AS;Aktiv;7;AS;71.122
990078408;ARENA BYGG AS;Aktiv;;AS;41.200
915329969;SEASMART AS;Aktiv;;AS;71.129
926091980;SOLUM BOKVENNEN AS;Aktiv;17;AS;58.110
968921746;BOKVENNEN FORLAG AS;Aktiv;;AS;58.110
964115176;VIDARFORLAGET AS;Aktiv;;AS;58.110
941139876;TRANSIT AS;Aktiv;;AS;58.110
983041809;VESTVÅGØY REGNSKAP AS;Aktiv;7;AS;69.201
997066782;VARANGER REGNSKAP AS;Slettet;;AS;
935490650;YRKESLITTERATUR AS;Aktiv;;AS;58.110
980584380;GAIDAROS FORLAG AS;Aktiv;;AS;58.190
931454382;GRATANGEN MEKANISKE INDUSTRI AS;Aktiv;18;AS;28.920
919679573;TRAFIKKJENTENE AS;Aktiv;73;AS;52.219
970509518;RUNA WELLE GRAVFERD, DEKORATØR OG TENESTER;Aktiv;;ENK;96.030
997604296;DEGREE HOLDING GROUP AS;Aktiv;;AS;68.209
893823972;FILEMAIL AS;Aktiv;;AS;63.120
988259977;ØKORÅD ØKSNES AS;Aktiv;9;AS;69.201
912079007;FN EIGEDOM AS;Aktiv;;AS;68.209
979473141;APTO AS;Aktiv;16;AS;62.020
939532595;GREFSEN AS;Aktiv;9;AS;68.209
971259582;BÆRUM NÆRINGSRÅD;Aktiv;;FLI;94.110
893509992;VESTERÅLEN VARMEPUMPER AS;Aktiv;;AS;43.222
953686295;HØYDEPUNKT ARRANGEMENTSSERVICE AS;Aktiv;11;AS;79.903
971402423;SKÅNLAND STALL OG RIDEKLUBB;Aktiv;;FLI;01.620
995256673;NORDLANDSMAT AS;Aktiv;;AS;46.390
915467970;FOSENTERMINALEN BESSAKER AS;Aktiv;;AS;52.211
992797576;BÆRUM REGNSKAP AS;Aktiv;5;AS;69.201
988939757;NORDIC NATURALS AS;Aktiv;;AS;46.330
921091087;BALLSTADØY AS;Slettet;;AS;
965630201;HJØRNEKIOSKEN EIENDOMMER AS;Aktiv;;AS;68.209
996768910;MELBU FOLKEBAD SA;Aktiv;11;SA;93.110
916242360;DP ØYA EIENDOM AS;Aktiv;;AS;88.996
980562484;SONJA BLOMSTER AS;Aktiv;10;AS;47.761
916276273;PARKEN BLOMSTER AS;Aktiv;;AS;47.761
993624268;BALLOONBURGER AS;Aktiv;8;AS;56.101
962077447;NITSCHKE & BORGTING ØKONOMIBYRÅ AS;Slettet;;AS;
971437286;STIFTELSEN KUNSTNERNES HUS;Aktiv;44;STI;90.011
916481063;SOMETHING FROM NOTHING CHRISTIAN  LORENTSEN;Aktiv;;ENK;59.200
995257610;MAURTUA PRIVATE BARNEHAGE AS;Aktiv;11;AS;88.911
911873095;NILSEN REVISJON;Aktiv;;ENK;69.202
989289292;HEMEK AS;Aktiv;;AS;71.129
989158953;KULTA INVEST AS;Aktiv;;AS;93.291
984353693;TRANSPORT SERVICE NORDLAND AS;Slettet;;AS;
998835909;KRINGLA AS;Aktiv;39;AS;10.710
997844475;EIDCON ØKONOMI AS;Aktiv;;AS;69.201
938683913;ADB-SENTERET AS;Aktiv;14;AS;69.201
989194380;PEKAMA AS;Aktiv;;AS;70.220
969078082;MOTUS AS;Aktiv;;AS;62.010
970321160;LILJEBAKK SVENN H;Aktiv;;ENK;41.200
831087692;ECONPARTNER AS;Aktiv;43;AS;69.201
998053013;EGIL BYGGTJENESTE AS;Aktiv;9;AS;41.200
997278356;BLICHFELDT TANGEN FJELD MÅLGRUPPEINNSIKT AS;Aktiv;;AS;70.220
983821057;ODDBJØRN ULLESTAD;Aktiv;;ENK;43.120
994679708;FRAP EIENDOM AS;Slettet;;AS;
946063940;GRANT THORNTON ØKONOMISERVICE AS;Aktiv;26;AS;69.201
951499072;KALLESTEN REVISJON OG REGNSKAP AS;Aktiv;23;AS;69.202
954680541;JM BILSALG NYBRÅTEN;Aktiv;;ENK;45.112
996251837;FRAJO AS;Aktiv;;AS;68.209
912206599;V1 INVEST AS;Aktiv;;AS;68.209
988067687;FISKEHALLEN DRIFT AS;Aktiv;16;AS;47.230
914549760;NERDRUMS OPMAALING AS;Aktiv;12;AS;71.123
982396778;ENVISION IT AS;Aktiv;;AS;62.020
971577061;BOSSMO & YTTEREN IL;Aktiv;;FLI;93.120
970306161;IL STÅLKAMERATENE;Aktiv;;FLI;93.120
814531082;AVANT;Aktiv;;FLI;94.991
